Utterance,Intent
Có nhiều hồ sơ quá trình đào tạo hoặc luận án không đạt yêu cầu thẩm định trong hai năm liên tiếp có bị gì không,policy
Trường bị dừng hoạt động bởi nhiều hồ sơ không đạt yêu cầu như thế nào,policy
Thông báo dừng hoạt động trường ở đâu,policy
Cơ chế xử phạm trường có nhiều hồ sơ thẩm định không đạt yêu cầu là gì,policy
Xử lý trường có nhiều hồ sơ không đạt yêu cầu thẩm định như thế nào,policy
Xử lý cơ sở có nhiều hồ sơ không đạt yêu cầu thẩm định như thế nào,policy
Xử lý cở sở có nhiều hồ sơ không đạt yêu cầu thẩm định ra làm sao,policy
Bị hồ sơ chưa đạt yêu cầu thẩm định thì làm sao,policy
Ai là người xử lý hồ sơ quá trình đào tạo chưa đạt yêu cầu thẩm định,policy
Người xử lý hồ sơ quá trình đào tạo chưa đạt yêu cầu thẩm định là ai,policy
Những thứ gì Phòng Đào tạo Sau đại học chuẩn bị và nghiên cứu sinh chuẩn bị những thứ gì để xét cấp bằng tiến sĩ,policy
Cho mình hỏi về quy trình thẩm định luận án tiến sĩ,policy
Những quy định về quy trình thẩm định tiến sĩ gồm những gì,policy
Thẩm định luận án tiến sĩ được quy định như thế nào,policy
Hồ sơ xét cấp bằng tiến sĩ của nghiên cứu sinh gồm những gì,policy
Hồ sơ xét cấp bằng tiến sĩ của nghiên cứu sinh gồm cái gì,policy
Để được xét cấp bằng tiến sĩ hồ sơ cần chuẩn bị gồm những gì,policy
Cần nộp gì để được xét cấp bằng tiến sĩ,policy
Hồ sơ xét cấp bằng tiến sĩ gồm những gì,policy
Nghiên cứu sinh cần nộp gì để được xét cấp bằng tiến sĩ,policy
Hồ sơ xét cấp bằng tiến sĩ của nghiên cứu sinh được quy định ở đâu,policy
Hồ sơ xét cấp bằng tiến sĩ được quy định ở đâu,policy
Cần nộp cái gì để được cấp bằng tiến sĩ,policy
Hồ sơ xét cấp bằng tiến sĩ của nghiên cứu sinh gồm những gì,policy
Nghiên cứu sinh chuẩn bị gì để được xét cấp bằng tiến sĩ,policy
Nghiên cứu sinh chuẩn bị cái gì để được cấp bằng tiến sĩ,policy
Nghiên cứu sinh chuẩn bị hồ sơ bao gồm những thứ gì để được cấp bằng tiến sĩ,policy
Hồ sơ nghiên cứu sinh chuẩn bị bao gồm những thứ gì để được cấp bằng tiến sĩ,policy
Những thứ gì do Phòng Đào tạo Sau đại học chuẩn bị để xét cấp bằng tiến sĩ,policy
Những hồ sơ do Phòng Đào tạo Sau đại học chuẩn bị để xét cấp bằng tiến sĩ gồm những gì,policy
Phòng Đào tạo Sau đại học chuẩn bị để xét cấp bằng tiến sĩ bao gồm những gì,policy
Những thứ gì Phòng Đào tạo Sau đại học chuẩn bị và những thứ nào do nghiên cứu sinh chuẩn bị để xét cấp bằng tiến sĩ,policy
Phòng Đào tạo Sau đại học chuẩn bị những thứ nào và những thứ nào do nghiên cứu sinh chuẩn bị để xét cấp bằng tiến sĩ,policy
Cho mình hỏi về quy định về khiếu nại tố cáo,policy
Quy định về khiếu nại tố cáo gồm những gì,policy
Cho mình hỏi về quy định về khiếu nại tố cáo được quy định ở đâu,policy
Quy định về khiếu nại tố cáo được quy định ở đâu,policy
Quy định về khiếu nại tố cáo được nhắc đến ở đâu,policy
Cho mình hỏi quy định về khiếu nại tố cáo được nhắc đến ở đâu,policy
Được phép khiếu nại tố cáo về những vi phạm về cái gì,policy
Được phép tố cáo về những vi phạm về cái gì,policy
Được phép khiếu nại về những vi phạm về cái gì,policy
Ai là người có quyền được phép khiếu nại tố cáo các vi phạm,policy
Ai là người có quyền được phép tố cáo các vi phạm,policy
Ai là người có quyền được phép khiếu nại các vi phạm,policy
Việc khiếu nại tố cáo và giải quyết khiếu nại tố cáo được thực hiện theo quy định như thế nào,policy
Việc khiếu nại tố cáo và giải quyết khiếu nại tố cáo được thực hiện theo quy định của luật nào,policy
Việc khiếu nại tố cáo và giải quyết khiếu nại tố cáo được thực hiện như thế nào,policy
Việc khiếu nại và giải quyết khiếu nại được thực hiện theo quy định nào,policy
Việc khiếu nại tố cáo được thực hiện theo quy định nào,policy
Việc giải quyết khiếu nại tố cáo được thực hiện theo quy định nào,policy
Việc khiếu nại được thực hiện theo quy định nào,policy
Việc tố cáo được thực hiện theo quy định nào,policy
Việc giải quyết tố cáo được thực hiện theo quy định nào,policy
Các cơ quan tổ chức cá nhân và nghiên cứu sinh có quyền khiếu nại tố cáo về những điểm nào,policy
Nghiên cứu sinh có quyền khiếu nại tố cáo về những điểm nào,policy
Khiếu nại tố cáo được quy định như thế nào,policy
Cho mình hỏi về quy định về xử lý vi phạm,policy
Việc xử lý vi phạm được quy định như thế nào,policy
Việc xử lý vi phạm được nhắc đến ở đâu,policy
Việc xử lý vi phạm được nói đến ở đâu,policy
Trong trường hợp phát hiện có vi phạm trong tuyển sinh tổ chức và quản lý hoạt động đào tạo đánh giá luận án và cấp bằng tiến sĩ sẽ xử lý như thế nào,policy
Vi phạm trong tuyển sinh tổ chức và quản lý hoạt động đào tạo đánh giá luận án và cấp bằng tiến sĩ sẽ xử lý như thế nào,policy
Vi phạm trong tuyển sinh sẽ xử lý như thế nào,policy
Vi phạm trong tổ chức và quản lý hoạt động đào tạo sẽ xử lý như thế nào,policy
Vi phạm trong đánh giá luận án và cấp bằng tiến sĩ sẽ xử lý như thế nào,policy
Việc thu hồi bằng tiến sĩ được thực hiện theo quy định hiện hành và trong những trường hợp nào,policy
Việc thu hồi bằng tiến sĩ được thực hiện trong những trường hợp nào,policy
Khi nào thì bị thu hồi bằng tiến sĩ,policy
Thu hồi bằng tiến sĩ xảy ra trong trường hợp nào,policy
Lam gì thì bị thu hồi bằng tiến sĩ,policy
Trong trường hợp nào nghiên cứu sinh bị tạm ngừng học tập đình chỉ học tập đến truy cứu trách nhiệm hình sự,policy
Trong trường hợp nào nghiên cứu sinh bị tạm ngừng học tập,policy
Trong trường hợp nào nghiên cứu sinh bị đình chỉ học tập,policy
Trong trường hợp nào nghiên cứu sinh bị truy cứu trách nhiệm hình sự,policy
Vi phạm nghiêm trọng thì bị gì,policy
Cho mình hỏi về quy định chuyển tiếp,policy
Quy định chuyển tiếp được quy định như thế nào,policy
Quy định chuyển tiếp được quy định ở đâu,policy
Quy định chuyển tiếp được nhắc đến ở đâu,policy
Đối với các khoá tuyển sinh đã có quyết định công nhận nghiên cứu sinh trước ngày 26 tháng 2 năm 2018 quy định chuyển tiếp được quy định như thế nào,policy
Đối với các khoá tuyển sinh đã có quyết định công nhận nghiên cứu sinh trước ngày 26 tháng 2 năm 2018 chuyển tiếp như thế nào,policy
Đối với các khoá tuyển sinh đã có quyết định công nhận nghiên cứu sinh trước ngày 26 tháng 2 năm 2018 quy định chuyển tiếp được quy định ở đâu,policy
Đối với các khoá tuyển sinh đã có quyết định công nhận nghiên cứu sinh trước ngày 26 tháng 2 năm 2018 quy định chuyển tiếp được quy định ra sao,policy
Đối với các khoá tuyển sinh đã có quyết định công nhận nghiên cứu sinh trước ngày 26 tháng 2 năm 2018 làm thế nào để chuyển tiếp,policy
Đối với các khóa tuyển sinh kể từ ngày 26 tháng 2 năm 2018 đến hết ngày 31 tháng 12 năm 2018 chuyển tiếp được quy định như thế nào,policy
Đối với các khóa tuyển sinh kể từ ngày 26 tháng 2 năm 2018 đến hết ngày 31 tháng 12 năm 2018 chuyển tiếp được quy định ra sao,policy
Đối với các khóa tuyển sinh kể từ ngày 26 tháng 2 năm 2018 đến hết ngày 31 tháng 12 năm 2018 chuyển tiếp được quy định ở đâu,policy
Đối với các khóa tuyển sinh kể từ ngày 01 tháng 01 năm 2019 trở đi để chuyển tiếp cần làm gì,policy
Đối với các khóa tuyển sinh kể từ ngày 01 tháng 01 năm 2019 trở đi việc chuyển tiếp được quy định ở đâu,policy
Việc chuyển tiếp được phân chia như thế nào,policy
việc chuyển tiếp được quy định theo khóa như thế nào,policy
Điều kiện để chuyển tiếp là gì,policy
Cần làm gì để chuyển tiếp,policy
Nghiên cứu sinh cần chuyển tiếp phải làm gì,policy
Cấp bằng tiến sĩ gồm những quy định nào,policy
Cấp bằng tiến sĩ bao gồm những quy định gì,policy
Cấp bằng tiến sĩ được quy định như thế nào,policy
Quy định về cấp bằng tiến sĩ được nói đến ở đâu,policy
Hồ sơ bảo vệ luận án được đưa ra xem xét tiến hành các thủ tục cấp bằng tiến sĩ bao gồm những gì,policy
Mỗi năm trường tổ chức cấp văn bằng tiến sĩ vào thời điểm nào,policy
Hồ sơ bảo vệ luận án để cấp bằng tiến sĩ bao gồm những gì,policy
Cần nộp gì trong hồ sơ bảo vệ luận án được đưa ra xem xét tiến hành các thủ tục cấp bằng tiến sĩ,policy
Cần nộp gì trong hồ sơ bảo vệ luận án để cấp bằng tiến sĩ,policy
Hồ sơ bảo vệ luận án được đưa ra xem xét tiến hành các thủ tục cấp bằng tiến sĩ có cái gì,policy
Hồ sơ bảo vệ luận án để cấp bằng tiến sĩ có cái gì,policy
Trách nhiệm của Hiệu trưởng trong việc cấp bằng tiến sĩ là gì,policy
Hiệu trưởng có trách nhiệm gì trong việc cấp bằng tiến sĩ,policy
Ai là người có trách nhiệm tổ chức kiểm tra quá trình đào tạo chất lượng luận án việc tổ chức và hoạt động của Hội đồng đánh giá luận án cấp Trường hồ sơ xét cấp bằng tiến sĩ,policy
Trách nhiệm tổ chức kiểm tra quá trình đào tạo chất lượng luận án việc tổ chức và hoạt động của Hội đồng đánh giá luận án cấp Trường hồ sơ xét cấp bằng tiến sĩ thuộc về ai,policy
Ai là người ra quyết định công nhận học vị của nghiên cứu sinh tiến sĩ,policy
Ai là người ra quyết định công nhận học vị và cấp bằng cho nghiên cứu sinh tiến sĩ,policy
Ai là người ra quyết định cấp bằng cho nghiên cứu sinh tiến sĩ,policy
Việc ra quyết định công nhận học vị và cấp bằng cho nghiên cứu sinh tiến sĩ là của ai,policy
Một năm trường tổ chức cấp văn bằng tiến sĩ bao nhiêu lần,policy
Nghiên cứu sinh có được cấp bằng tiến sĩ tạm thời không,policy
Các thông tin liên quan về văn bằng tiến sĩ ở đâu,policy
Quy định về thanh trả kiểm tra được quy định như thế nào,policy
Việc thanh trả kiểm tra được quy định như thế nào,policy
Cho mình hỏi về quy định về thanh trả kiểm tra ,policy
Việc thanh trả kiểm tra được quy định ở đâu,policy
Việc thanh trả kiểm tra được nhắc đến ở đâu,policy
Quy định về thanh trả kiểm tra được nhắc đến ở đâu,policy
Ai thực hiện thanh tra kiểm tra công tác đào tạo trình độ tiến sĩ của nhà trường theo quy định hiện hành,policy
Ai là người thực hiện thanh tra kiểm tra công tác đào tạo trình độ tiến sĩ của nhà trường theo quy định hiện hành,policy
Ai thực hiện thanh tra kiểm tra công tác đào tạo trình độ tiến sĩ,policy
Ai là người thực hiện thanh tra kiểm tra công tác đào tạo trình độ tiến sĩ,policy
Nội dung thanh tra kiểm tra bao gồm những gì,policy
Nội dung thanh tra kiểm tra bao gồm những việc như thế nào,policy
Thanh tra kiểm tra bao gồm những việc gì,policy
Nội dung thanh tra bao gồm những gì,policy
Nội dung kiểm tra bao gồm những gì,policy
Nội dung kiểm tra bao gồm những việc như thế nào,policy
Nội dung thanh tra bao gồm những việc như thế nào,policy
Kết luận thanh tra kiểm tra và các kiến nghị nếu có sẽ được xử lý như thế nào,policy
Kết luận thanh tra kiểm tra sẽ được xử lý như thế nào,policy
Các kiến nghị sẽ được xử lý như thế nào,policy
Các kết luận được quy định như thế nào,policy
Các kết luận thanh tra kiểm tra được quy định như thế nào,policy
Các kiến nghị được quy định như thế nào,policy
Cho mình hỏi về quy định xử lý học vụ,policy
Việc xử lý học vụ được quy định ở đâu,policy
Quy định xử lý học vụ được nhắc đến ở đâu,policy
Quy định về tạm dừng học tiếp tục học thôi học được quy định như thế nào,policy
Việc tạm dừng học tiếp tục học thôi học được quy định như thế nào,policy
Khi nào thì nghiên cứu sinh có thể đề nghị tạm dừng học,policy
Thời gian được phép tạm dừng học là bao lâu,policy
Điều kiện để tạm dừng học của nghiên cứu sinh là gì,policy
Điều kiện để nghiên cứu sinh tiếp tục học là gì,policy
Làm thế nào để nghiên cứu sinh tiếp tục học,policy
Nghiên cứu sinh làm gì để  thôi học,policy
Điều kiện để nghiên cứu sinh được thôi học là gì,policy
Nhắc nhở đối với nghiên cứu sinh trong các trường hợp nào,policy
Khi nào nghiên cứu sinh bị nhắc nhở,policy
Khi làm gì thì nghiên cứu sinh bị nhắc nhở,policy
Khiển trách đối với nghiên cứu sinh thuộc trường hợp nào,policy
Khi nào thì nghiên cứu sinh bị khiển trách,policy
Nghiên cứu sinh làm gì thì bị khiển trách,policy
Cảnh cáo đối với nghiên cứu sinh trong các trường hợp nào,policy
"Khi nào nghiên cứu sinh bị khiển trách
",policy
Buộc thôi học đối với nghiên cứu sinh trong các trường hợp nào,policy
Khi nào nghiên cứu sinh bị thôi học,policy
Ai là người xử lý các trường hợp vi phạm đặc biệt,policy
Sử dựng kiểu chữ gì trong luận án tiến sĩ,policy
Quy định về trình bày văn bản trong luận án như thế nào,policy
Viết luận án tiến sĩ cần trình bày văn bản như thế nào,policy
Cách trình bày văn bản trong luấn án tiến sĩ là gì,policy
Cấu trúc của luận án tiến sĩ như thế nào,policy
Luận án tiến sĩ gồm những phần nào,policy
Luận án tiến sĩ gồm những gì,policy
Cho mình hỏi về hình thức và cấu trúc của luận án tiến sĩ,policy
Hình thức và cấu trúc của luận án tiến sĩ được quy định như thế nào,policy
Hình thức và cấu trúc của luận án tiến sĩ được quy định ở đâu,policy
Hình thức và cấu trúc của luận án tiến sĩ được nhắc đến ở đâu,policy
Quy định về phông chữ trong luận án tiến sĩ như thế nào,policy
Luận án tiến sĩ cần có những phần nào,policy
Trình bày luận án tiến sĩ theo cấu trúc như thế nào,policy
Số trang tối đa của phần phụ lục là bao nhiêu,policy
Bao nhiêu phần trong luận án tiến sĩ là kết quả nghiên của và biện luận của riêng nghiên cứu sinh,policy
Cỡ chữ trong luận án tiến sĩ là bao nhiêu,policy
Cần sử dụng cỡ chữ bao nhiêu trong luận án tiến sĩ,policy
Luận án tiến sĩ sử dụng mã gì khi viết,policy
Số trang tối đa của luận án tiến sĩ là bao nhiêu,policy
Quy định về số trang tối đa của luận án tiến sĩ như thế nào,policy
Quy định về số trang của luận án tiến sĩ như thế nào,policy
Đối với nhóm ngành quản lý số trang tối đa của luận án tiến sĩ là bao nhiêu,policy
Đối với nhóm ngành kỹ thuật số trang tối đa của luận án tiến sĩ là bao nhiêu,policy
Cần phải có ít nhất bao nhiêu ý kiến tán thành từ những người thẩm định để luận án được xem là đạt yêu cầu ,policy
Trong khoảng thời gian bao lâu thì ĐHQGHCM sẽ thông báo bằng văn bản danh sách những trường hợp cần thẩm định của nhà trường và nội dung yêu cầu thẩm định cụ thể ,policy
Những yêu cầu liên quan đến báo cáo về thẩm định quá trình đào tạo và chất lượng luận án được quy định ở đâu ,policy
Đơn vị nào sẽ có trách nhiệm thông báo bằng văn bản danh sách những trường hợp cần thẩm định của nhà trường và nội dung yêu cầu thẩm định cụ thể sau khi nhận được báo cáo ,policy
ĐHQGHCM cần thông báo những gì sau khi đã nhận được bản báo cáo ,policy
ĐHQGHCM sẽ có khoảng bao nhiêu ngày để thông báo bằng văn bản danh sách những trường hợp cần thẩm định của nhà trường và nội dung yêu cầu thẩm định cụ thể ,policy
 ĐHQGHCM hoặc Bộ Giáo dục và Đào tạo sẽ có khoảng thời gian bao nhiêu ngày để tiến hành thẩm định và có văn bản thông báo kết quả thẩm định ,policy
Đơn vị nào sẽ có trách nhiệm tiến hành thẩm định và có văn bản thông báo kết quả thẩm định ,policy
ĐHQGHCM hoặc Bộ Giáo dục và Đào tạo sẽ làm gì sau khi đã nhận được đầy đủ hồ sơ ,policy
Đơn vị nào sẽ có trách nhiệm hỗ trợ đơn thư tố cáo về nội dụng và chất lượng luận án để có những cách xử lý tốt nhất ,policy
Trong trường hợp nào thì  ĐHQGHCM hoặc Bộ Giáo dục và Đào tạo ra quyết định thành lập Hội đồng thẩm định luận án ủy quyền cho Hiệu trưởng tổ chức họp Hội đồng thẩm định luận án có sự giám sát của đại diện ĐHQGHCM hoặc Bộ Giáo dục và Đào tạo ,policy
ĐHQGHCM hoặc Bộ Giáo dục và Đào tạo cần đưa ra quyết định như thế nào để giải quyết đơn thư tố cáo về nội dung và chất lượng luận án ,policy
Như thế nào sẽ được gọi là một quá trình đào tạo đạt yêu cầu thẩm định ,policy
Một quá trình đào tạo được xem là đạt yêu cầu thẩm định là như thế nào ,policy
Nội dung chất lượng luận án được thẩm định bằng cách nào ,policy
Quá trình đào tạo đạt yêu cầu thẩm định là khi đáp ứng được những tiêu chí nào ,policy
3 nhà khoa học phải có trình độ như thế nào để có thể thẩm định nội dung và chất lượng của luận án ,policy
Ai sẽ là người có nhiệm vụ đưa ra những ý kiến đánh giá thẩm định cho nội dung chất lượng luận án ,policy
Những ý kiến đánh giá của 03 nhà khoa học có chức danh giáo sư hoặc phó giáo sư có bằng tiến sĩ khoa học hoặc tiến sĩ có kinh nghiệm chuyên môn am hiểu đề tài và lĩnh vực nghiên cứu của nghiên cứu sinh sẽ được dùng để đánh giá việc gì ,policy
Một luận án được xem đạt yêu cầu thẩm định là khi có được tối thiểu bao nhiêu ý kiến đồng ý ,policy
Để một luận án đạt yêu cầu thẩm định thì cần ít nhất bao nhiêu ý kiến tán thành ,policy
Những quy định về việc sửa đổi bổ sung và đề đánh giá lại luận án được đề cập ở Điều số mấy ,policy
Những thông tin mà nghiên cứu sinh có thể tìm thấy về việc được phép sửa đổi bổ sung và đề nghị đánh giá lại luận án được quy định ở Điều số bao nhiêu ,policy
Trong trường hợp chưa được cấp văn bằng nào thì nghiên cứu sinh được phép sửa đổi bổ sung và đề nghị đánh giá lại luận án ,policy
Trong trường hợp nghiên cứu sinh đã được cấp bằng tiến sĩ thì nhà trường sẽ có hướng giải quyết như thế nào ,policy
Nghiên cứu sinh với bằng cấp như thế nào sẽ được xử lý theo quy định tại khoản 2 Điều 40 ,policy
Trong trường hợp nào thì nhà trường sẽ xử lý theo quy định tại khoản 2 Điều số 40 ,policy
Hội đồng đánh giá luận án cấp Trường cùng với người hướng dẫn cần làm gì sau khi nhận được yêu cầu từ Hồi đồng thẩm định ,policy
Đơn vị nào sẽ có trách nhiệm xử lý trường hợp nghiên cứu sinh đã được cấp bằng tiến sĩ ,policy
Luận án được cho là đạt yêu cầu khi ,policy
Đơn vị nào sẽ thông qua luận án và yêu cầu nghiên cứu sinh sửa đổi bổ sung luận án ,policy
Ai là người sẽ xem xét quyết định các điểm cần sửa đổi bổ sung nội luận án theo yêu cầu của người thẩm định hoặc Hội đồng thẩm định ,policy
Hội đồng đánh giá luận án cấp Trường cùng với người hướng dẫn và nghiên cứu sinh có thời hạn trong bao lâu để xem xét quyết định các điểm cần sửa đổi bổ sung nội dung luận án theo yêu cầu của người thẩm định hoặc Hội đồng thẩm định ,policy
Trong thời hạn bao lâu thì có thể xem xét quyết định các điểm cần sửa đổi bổ sung nội luận án theo yêu cầu của người thẩm định hoặc Hội đồng thẩm định ,policy
Những ai có trách nhiệm xem xét quyết định các điểm cần sửa đổi bổ sung nội dung luận án theo yêu cầu của người thẩm định hoặc Hội đồng thẩm định ,policy
Sau khi đã chỉnh sửa luận án thì nghiên cứu sinh cần làm gì ,policy
Ai sẽ có trách nhiệm nộp lại bản luận án đã chỉnh sửa hiệu đính kèm công văn của nhà trường gửi cho các thư viện để thay thế cho bản luận án đã nộp lưu chiểu với các trường hợp đã gửi luận án cho các thư viện ,policy
Nghiên cứu sinh cần thực hiện những gì sau khi đã hoàn tất việc hiệu chỉnh bản luận án ,policy
Trong trường hợp nào thì nghiên cứu sinh được phép sửa đổi bổ sung và đề nghị đánh giá lại luận án theo quy định tại Điều 30 của quy định này ,policy
Nghiên cứu sinh được phép sửa đổi bổ sung và đề nghị đánh giá lại luận án theo quy định tại Điều 30 trong trường hợp nào ,policy
Trong trường hợp nghiên cứu sinh chưa được cấp bằng tiến sĩ thì nghiên cứu sinh sẽ được phép làm gì ,policy
Những ai sẽ được bổ nhiệm cho những vị trí thiết yếu trong Hội đồng thẩm định luận án ,policy
Tiêu chuẩn của thành viên Hội đồng thẩm định luận án có thể được tìm thấy ở đâu ,policy
Hội đồng chỉ được bắt đầu họp trong trường hợp nào ,policy
Nhiệm vụ của Hội đồng thẩm định là gì ,policy
Phải có mặt tối thiểu bao nhiêu thành viên thì Hội đồng mới có thể bắt đầu buổi họp ,policy
"Buổi họp của Hội đồng chỉ được bắt đầu khi có mặt tối thiếu 6 thành viên bao gồm những ai 
",policy
Luận án sẽ được đánh giá bằng hình thức gì ,policy
"Hội đồng thẩm định có nhiệm vụ phải làm những công việc gì 
",policy
Hình thức nào sẽ được Hội đồng áp dụng để đánh giá luận án ,policy
Luận án sẽ được cho là không đạt yêu cầu thẩm định trong trường hợp nào ,policy
Những thông tin về hội đồng thẩm định luận án được cung cấp ở đâu ,policy
Trong trường hợp luận án không được Hội đồng thẩm định thông qua thì Hiệu Trưởng sẽ phải làm gì ,policy
Có bao nhiêu thành viên thuộc Hội đồng thẩm định ,policy
Hội đồng thẩm định phải được bố trí bao nhiêu thành viên ,policy
Số lượng thành viên của hai Hội đồng dự họp được yêu cầu phải có tối thiểu bao nhiêu người ,policy
Hội đồng thẩm định cần có tối thiểu 4 thành viên như  thế nào ,policy
Hội đồng thẩm định cần có tối thiểu bao nhiêu thành viên chưa tham gia đánh giá luận án cấp Khoa chưa là phản biện độc lập hoặc chưa là thành viên Hội đồng đánh giá luận án cấp Trường ,policy
Các nhà khoa học cần là những người như thế nào để tham gia thẩm định luận án ,policy
Hội đồng thẩm định còn phải bao gồm các nhà khoa học như thế nào ,policy
Luận án sẽ không được thông qua nếu có từ bao nhiêu thành viên không tán thành trong buổi đối thoại ,policy
Tiêu chuẩn của thành viên Hội đồng thẩm định luận án phải đáp ứng được yêu cầu như thế nào ,policy
Hội đồng thẩm định luận án bắt buộc phải có những ai ,policy
Trong buổi đối thoại nếu từ có từ bao nhiêu thành viên trở lên không tán thành thì luận án sẽ không được thông qua ,policy
Thành viên hội đồng sẽ làm gì sau khi kết thúc việc họp riêng ,policy
"Hội đồng sẽ bầu ban kiểm phiếu bao gồm có những ai 
",policy
Nghiên cứu sinh có thể giải trình trước Hội đồng nếu như ,policy
Đơn vị nào sẽ phụ trách việc kiểm phiếu và thực hiện Biên bản kiểm phiếu ,policy
Dựa vào đâu để Hội đồng thảo luận thông qua Quyết nghị của hội đồng ,policy
Ai sẽ có trách nhiệm lập Biên bản hội đồng đánh giá luận án cấp Trường và Quyết nghị của hội đồng ,policy
Đơn vị nào chịu trách nhiệm công bố Biên bản kiểm phiếu Biên bản hội đồng và Quyết nghị của hội đồng ,policy
Quy trình bảo vệ luận án cấp Trường có thể tìm thấy ở đâu ,policy
Tôi muốn tìm thông tin về quy trình bảo vệ luận án cấp Trường ,policy
Quyết định thành lập Hội đồng đánh giá luận án cấp Trường thuộc thẩm quyền của ai ,policy
Nếu có ý kiến thắc mắc hay phản đối với quyết định của Thư ký hội đồng thì nghiên cứu sinh phải làm gì  ,policy
Đơn vị nào có thẩm quyền tiếp nhận ý kiến thắc mắc của nghiên cứu sinh về vấn đề lý lịch khoa học ,policy
Những thông tin nào cần được đại diện Phòng đào tạo Sau đại học nêu ra khi bắt đầu ,policy
Nghiên cứu sinh có thể trình bày nội dung luận án trong thời gian bao lâu ,policy
Những nội dung nên được đặt ra đối với luận án của nghiên cứu sinh là gì ,policy
Ai sẽ là người đặt câu hỏi hoặc góp ý về những kết quả đã đạt được những điểm mới của luận án những vấn đề chưa giải quyết được và những điểm cần bổ sung hoặc sửa chữa ,policy
Quyết nghị của hội đồng cần có chữ ký của ai ,policy
Nghiên cứu sinh nên làm gì sau khi nhận được những câu hỏi và ý kiến đánh giá của người tham dự ,policy
Hội đồng sẽ làm gì tiếp theo khi không còn vấn đề tranh luận hoặc các vấn đề đã được làm rõ ,policy
Sau bao lâu thì Thư ký hội đồng có thể gửi các giấy tờ thông tin liên quan đến luận án đến Phòng đào tạo Sau đại học ,policy
Các thành viên hội đồng cần cung cấp thêm những gì ,policy
Các bản nhận xét sẽ được cung cấp bởi ai ,policy
